jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,make,model_,year
93,389,782,611,550,501,347,516,309,406,303,275,Acura,MDX,2020
0,2,3,5,5,1,1,2,3,0,1,0,Acura,NSX,2020
443,466,650,552,607,738,747,720,788,854,661,750,Acura,RDX,2020
0,0,1,0,0,0,0,0,1,0,0,0,Acura,RLX,2020
111,112,309,0,1,0,391,249,225,143,155,85,Acura,TLX,2020
1,1,1,3,3,3,0,0,0,0,0,0,Alfa,Romeo 4C,2020
12,12,14,26,25,26,15,14,15,14,14,14,Alfa,Romeo Giulia,2020
42,42,48,59,57,59,68,65,68,67,67,67,Alfa,Romeo Stelvio,2020
40,40,45,2,2,2,0,0,0,98,98,98,Audi,A3,2020
113,113,127,224,216,224,117,113,117,46,46,46,Audi,A4,2020
181,181,204,431,414,431,177,170,177,85,85,85,Audi,A5,2020
95,95,107,91,87,91,34,33,34,32,32,32,Audi,A6,2020
37,37,42,60,57,60,17,16,17,16,16,16,Audi,A7,2020
6,6,6,8,7,8,6,6,6,3,3,3,Audi,A8,2020
0,0,0,0,0,0,42,40,42,28,28,28,Audi,e-Tron GT,2020
45,45,51,1,1,1,55,53,55,49,49,49,Audi,eTron,2020
553,553,622,843,810,843,581,559,581,574,574,574,Audi,Q3,2020
623,623,701,"1,268","1,219","1,268",814,784,814,618,618,618,Audi,Q5,2020
210,210,236,303,292,303,254,244,254,111,111,111,Audi,Q7,2020
130,130,146,211,203,211,114,110,114,35,35,35,Audi,Q8,2020
12,12,13,19,18,19,8,8,8,10,10,10,Audi,R8,2020
11,11,12,34,33,34,16,15,16,3,3,3,Audi,TT,2020
152,152,171,237,228,237,214,206,214,78,78,78,BMW,2-Series,2020
287,287,323,453,436,543,403,388,403,305,305,305,BMW,3-Series,2020
127,127,143,221,213,221,141,136,141,110,110,110,BMW,4-Series,2020
85,85,95,87,84,87,92,88,92,48,48,48,BMW,5-Series,2020
13,13,15,15,14,15,17,17,17,15,15,15,BMW,7-Series,2020
47,47,53,65,62,65,39,38,39,25,25,25,BMW,8-Series,2020
7,7,8,11,11,11,19,18,19,22,22,22,BMW,i3,2020
188,188,212,347,334,347,189,182,189,142,142,142,BMW,X1,2020
44,44,49,121,116,121,85,82,85,52,52,52,BMW,X2,2020
404,404,455,627,603,627,656,632,656,813,813,813,BMW,X3,2020
84,84,95,139,133,139,152,147,152,146,46,146,BMW,X4,2020
323,323,364,518,498,518,561,540,561,493,493,493,BMW,X5,2020
72,72,81,113,108,113,122,118,122,96,96,96,BMW,X6,2020
76,76,86,96,92,96,91,88,91,54,54,54,BMW,X7,2020
9,9,10,30,29,30,21,20,21,10,10,10,BMW,Z4,2020
167,167,188,253,243,253,175,168,175,127,127,127,Buick,Enclave,2020
171,171,192,202,194,202,136,131,136,122,122,122,Buick,Encore,2020
552,552,621,780,750,780,598,576,598,384,384,384,Buick,Encore GX,2020
187,187,211,414,398,414,593,571,593,241,241,241,Buick,Envision,2020
2,2,2,1,1,1,0,0,0,0,0,0,Buick,LaCrosse,2020
5,5,6,1,1,1,0,0,0,0,0,0,Buick,Regal,2020
63,63,71,81,78,81,68,65,68,29,29,29,Cadillac,CT4,2020
95,95,107,100,96,100,63,60,63,49,49,49,Cadillac,CT5,2020
0,0,0,1,1,1,0,0,0,0,0,0,Cadillac,CT6,2020
2,2,2,1,1,1,0,0,0,0,0,0,Cadillac,CTS,2020
217,217,244,343,330,343,380,366,380,208,208,208,Cadillac,Escalade,2020
299,299,337,294,282,294,80,77,80,53,53,53,Cadillac,XT4,2020
378,378,425,575,553,575,293,282,293,196,196,196,Cadillac,XT5,2020
146,146,164,175,168,175,136,131,136,82,82,82,Cadillac,XT6,2020
1,1,1,0,0,0,0,0,0,0,0,0,Cadillac,XTS,2020
320,320,360,334,321,334,217,209,217,263,263,263,Chevrolet,Blazer,2020
